dsp_cookies_export.user_id,dsp_cookies_export.zeta_user_id,dsp_cookies_export.dt
14779971477125877,"[""6be9faa3-e6c6-4b4a-b6dd-0634c311ad6b:1614860192.13""]",20210625
14789895579810141,"[""113ecb31-d0a2-4f02-b1e5-ef07da47dde7:1586205499.4""]",20210625
14811960518854026,"[""0da8c7e3-6ff5-43fe-b42a-addade8c4464:1623322568.25""]",20210625
14819523032146764,"[""b955f548-6cd0-4f29-a10b-a47bc26be25e:1624319900.83""]",20210625
14834536591436063,"[""c58baffa-9997-49e8-930b-6522378cad95:1624595146.87""]",20210625
14859793326936970,"[""efd4a11c-0f04-48d4-ab12-caa7e86e8c5c:1611703991.13""]",20210625
15097899107305400,"[""344a9c38-687f-4ca7-9faf-6e76502614b7:1607593967.7""]",20210625
15631568080999674,"[""f1ccd221-c7a6-4844-aeb5-512645f35a5e:1615455902.48""]",20210625
15643380355500611,"[""81218a66-5528-4c86-81fe-ad711408e537:1617892381.37""]",20210625
15670553404223746,"[""79d07416-ead0-45f6-aae8-a3c3a94f6923:1594913635.01""]",20210625
15673127169789354,"[""f361412c-844d-4124-8233-c341a02b15e1:1583777399.61""]",20210625
15674254246019437,"[""16988070-0217-484f-be33-9e21152bc98d:1595554502.77""]",20210625
16011276253898473,"[""bb8d159f-afd0-4448-acee-c519617ffcc2:1535315914.63""]",20210625
16016967458954362,"[""80421eb2-3b23-4e7b-bafe-a8b142e403ff:1588938067.2""]",20210625
16039267019735367,"[""431d74b2-ec1e-4194-b539-d16c7776d23a:1572854947.76""]",20210625
16237547716162473,"[""fba2e713-49c4-459d-8e09-3544a76425dd:1624311526.15""]",20210625
16322947425113561,"[""73d4d0c3-4230-4edc-bea5-e71fbdc55e6e:1589277544.18""]",20210625
